[DEBUG] 2020-02-22 11:51:28.987 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@779de014
[DEBUG] 2020-02-22 11:51:28.988 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@4642b71d
[DEBUG] 2020-02-22 11:51:28.991 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@3eb631b8
[DEBUG] 2020-02-22 11:51:28.991 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@3eb631b8
[DEBUG] 2020-02-22 11:51:28.993 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@6ef7623
[DEBUG] 2020-02-22 11:51:28.994 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@6ef7623
[DEBUG] 2020-02-22 11:51:29.006 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@29a23c3d
[DEBUG] 2020-02-22 11:51:29.007 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@29a23c3d
[DEBUG] 2020-02-22 11:51:29.010 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@17ca8b92
[DEBUG] 2020-02-22 11:51:29.011 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@17ca8b92
[DEBUG] 2020-02-22 11:51:29.014 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@5bb3131b
[DEBUG] 2020-02-22 11:51:29.014 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@5bb3131b
[DEBUG] 2020-02-22 11:51:29.017 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@6a933be2
[DEBUG] 2020-02-22 11:51:29.017 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@6a933be2
[DEBUG] 2020-02-22 11:51:29.020 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@67207d8a
[DEBUG] 2020-02-22 11:51:29.021 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@67207d8a
[DEBUG] 2020-02-22 11:51:29.025 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@28cb9120
[DEBUG] 2020-02-22 11:51:29.025 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@28cb9120
[DEBUG] 2020-02-22 11:51:29.029 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@69b2f8e5
[DEBUG] 2020-02-22 11:51:29.030 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@69b2f8e5
[DEBUG] 2020-02-22 11:51:29.033 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@3605c4d3
